Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000241860,AL627309.5,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000237491,LINC01409,0.02672847091122826,-0.1353994498242841,1.0,0.009803735108963202,-1.1022378829753832,1.0,0.222563088704821,3.436376633007788,0.2811172035671995,0.0,2.3335880871220045,1.0
ENSG00000228794,LINC01128,0.08575384417352401,0.06557398787725788,1.0,0.07842988087170562,-0.06368464220599002,1.0,0.1112815443524105,0.899709689327413,0.8551728111638605,0.0,0.7028218967877233,1.0
ENSG00000225880,LINC00115,0.008909490303742754,-1.6093306381566963,0.6497440710762346,0.024509337772408005,1.433815017264827,0.8522563459037337,0.05564077217620525,3.06198111822629,0.5024260568393001,0.0,3.3808938019003616,1.0
ENSG00000230368,FAM41C,0.005568431439839221,-0.38693821682024865,1.0,0.004901867554481601,0.5858181107098765,1.0,0.0,3.0619811182262904,1.0,0.0,4.480429475451276,1.0
ENSG00000187634,SAMD11,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000188976,NOC2L,0.23832886562511865,-0.05659788211668637,1.0,0.22058403995167203,-0.12583639492714171,1.0,0.5564077217620526,1.300861662351307,0.4420379729062083,0.16198604081902682,0.210968800458049,1.0
ENSG00000187961,KLHL17,0.01336423545561413,-1.5933890942876747,0.43352870053699494,0.03921494043585281,1.533350690815741,0.5549496048132785,0.05564077217620525,2.477018617505134,0.6758521379046727,0.0,2.828352778871582,1.0
ENSG00000187583,PLEKHN1,0.0022273725759356885,-1.3869382168202495,0.8975899633359843,0.004901867554481601,1.5858181107098765,1.0,0.0,3.869336040283894,1.0,0.0,5.287784397508879,1.0
ENSG00000188290,HES4,0.0,-2.9719007175414056,0.6716899353178838,0.004901867554481601,3.1707806114310326,0.8522563459037337,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000187608,ISG15,0.1915540415304692,-1.181128679679405,0.06300027782031035,0.46077555012127047,1.2649027887955828,0.055534250995102605,0.2782038608810263,0.393602609317496,0.8341163954297779,0.0,-0.7996784437414597,1.0
