PC,Proportion.Variance.Explained
1,0.013169905892839938
2,0.005920138914767426
3,0.004714950024821788
4,0.003766380796344188
5,0.003206921218451769
6,0.0029347055844544385
7,0.0028215861530770615
8,0.0028015305989421676
9,0.002749260884917716
10,0.0027085068603459597
