Feature,Normalized.Dispersion
ENSG00000241860,nan
ENSG00000237491,1.5894341303360204
ENSG00000228794,-1.1220784829399044
ENSG00000225880,4.643962689250397
ENSG00000230368,-0.6888453790002314
ENSG00000187634,nan
ENSG00000188976,-0.0595721056205197
ENSG00000187961,-0.04129350224933757
ENSG00000187583,7.569201683418724
ENSG00000188290,nan
ENSG00000187608,0.6229970252013369
ENSG00000224969,nan
ENSG00000188157,-0.9239243806294618
ENSG00000131591,3.102696490538834
ENSG00000162571,nan
ENSG00000186891,2.082083312130569
ENSG00000186827,3.3912242295994273
ENSG00000078808,-1.140441023114577
ENSG00000176022,-2.004257121792619
ENSG00000184163,18.345551822878956
ENSG00000260179,nan
ENSG00000160087,0.35160645743582064
ENSG00000162572,-1.723500927925338
ENSG00000131584,-0.4768063918401676
ENSG00000169972,-1.5754885582996903
ENSG00000127054,-0.5668944092636923
ENSG00000224051,-2.052698059323839
ENSG00000169962,nan
ENSG00000107404,-1.3959591583036337
ENSG00000162576,1.1336059655554458
ENSG00000175756,-1.1769865711535512
ENSG00000221978,3.066814089558906
ENSG00000224870,-1.6012740458701546
ENSG00000242485,-0.8200236448256033
ENSG00000235098,nan
ENSG00000225285,nan
ENSG00000215915,-0.825931552234287
ENSG00000160072,1.5726797148973455
ENSG00000197785,-1.1690814915551624
ENSG00000205090,0.29542058691234024
ENSG00000160075,3.296445850412045
ENSG00000215014,1.844979089277976
ENSG00000228594,-0.8594700374525766
ENSG00000286989,-0.25375773899038645
ENSG00000272106,-0.5071563587704551
ENSG00000197530,0.4673685739467211
ENSG00000189409,-0.7094887473727536
ENSG00000248333,0.829618126144554
ENSG00000272004,nan
ENSG00000189339,2.017628939044238
ENSG00000008128,4.199810950463559
ENSG00000215790,6.1691251356737995
ENSG00000008130,-1.3117115968021393
ENSG00000078369,-0.07802233367933933
ENSG00000231050,-1.0555949227577317
ENSG00000178821,nan
ENSG00000187730,nan
ENSG00000067606,1.0741616928565365
ENSG00000271806,nan
ENSG00000182873,nan
ENSG00000162585,-1.3811956151881428
ENSG00000157933,1.247524267387658
ENSG00000116151,4.221600113291757
ENSG00000157916,-1.257797609616533
ENSG00000157911,0.9144680100326291
ENSG00000149527,-0.11695386647729644
ENSG00000157881,-1.0046608131867227
ENSG00000272449,-1.4351484995234483
ENSG00000238164,-0.9248916325475431
ENSG00000157873,0.41730123716296824
ENSG00000228037,-1.7055626958793597
ENSG00000157870,-1.0302079073764094
ENSG00000142606,-0.8292272495610383
ENSG00000215912,0.33639368948973414
ENSG00000177133,nan
ENSG00000142611,nan
ENSG00000162591,3.2267350910104162
ENSG00000158109,-1.5227679495084883
ENSG00000116213,0.28973958475866785
ENSG00000235169,-0.8268384504326276
ENSG00000130764,-0.4082539358531745
ENSG00000272153,nan
ENSG00000116198,-0.04012285080531159
ENSG00000169598,0.07598325659617822
ENSG00000198912,-0.2385797921664372
ENSG00000196581,5.1955018014343946
ENSG00000236948,nan
ENSG00000131697,5.279803466462154
ENSG00000069424,0.39643018000140845
ENSG00000116251,-0.9787718042029967
ENSG00000158286,nan
ENSG00000116237,-0.5967180984317582
ENSG00000225077,nan
ENSG00000158292,nan
ENSG00000097021,2.243706594154563
ENSG00000271746,-0.6288885913150837
ENSG00000069812,nan
ENSG00000187017,0.6097654127794733
ENSG00000215788,1.4128139917568674
ENSG00000171680,0.750637162355679
ENSG00000162408,1.325690132173256
ENSG00000204859,0.3107081585170464
ENSG00000162413,-1.253296918946289
ENSG00000116273,-1.3103719867328307
ENSG00000041988,-1.9457842310779585
ENSG00000007923,1.5462805572240914
ENSG00000237436,1.6961413827559084
ENSG00000171735,-1.4144043099146453
ENSG00000049245,-1.4545069990377453
ENSG00000049246,0.8302619730440991
ENSG00000236266,-0.19618255037956048
ENSG00000049247,0.17872566248437866
ENSG00000049249,nan
ENSG00000116288,-0.7976087176195596
ENSG00000162426,1.5041775379811153
ENSG00000142599,1.8390737334020437
ENSG00000232912,-0.6362756092086413
ENSG00000228423,nan
ENSG00000074800,0.3142999674577246
ENSG00000230679,-0.13286341157698559
ENSG00000131686,-1.9335408884477887
ENSG00000142583,nan
ENSG00000180758,-0.06605717334033877
ENSG00000049239,2.5178154639772523
ENSG00000171621,0.32195268807091687
ENSG00000171612,-1.2785529125593995
ENSG00000188807,-0.47342954195782677
ENSG00000171608,1.9436007865099667
ENSG00000179840,-0.6734488654137378
ENSG00000231789,-0.9424626062774739
ENSG00000171603,-0.4990988855636933
ENSG00000178585,-0.9986129224537631
ENSG00000162441,-0.6514527898625403
ENSG00000228150,nan
ENSG00000173614,1.8251393404456138
ENSG00000130939,1.2885624152894268
ENSG00000054523,-1.0366304517006126
ENSG00000142657,-0.9872450628838888
ENSG00000271989,nan
ENSG00000175279,0.9417422241082404
ENSG00000160049,-0.8770807561501842
