Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000241860,AL627309.5,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000237491,LINC01409,0.02359511915607448,-3.021910950683396,0.3216840012515829,0.222563088704821,3.436376633007788,0.2811172035671995,0.0,2.3335880871220045,1.0
ENSG00000228794,LINC01128,0.08439792621211256,-0.48524400700302106,0.9823802009874869,0.1112815443524105,0.899709689327413,0.8551728111638605,0.0,0.7028218967877233,1.0
ENSG00000225880,LINC00115,0.01179755957803724,-2.647515435901898,0.5714208661851673,0.05564077217620525,3.06198111822629,0.5024260568393001,0.0,3.3808938019003616,1.0
ENSG00000230368,FAM41C,0.005445027497555649,-2.647515435901898,1.0,0.0,3.0619811182262904,1.0,0.0,4.480429475451276,1.0
ENSG00000187634,SAMD11,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000188976,NOC2L,0.23504368697781886,-1.017465045652204,0.509480709186221,0.5564077217620526,1.300861662351307,0.4420379729062083,0.16198604081902682,0.210968800458049,1.0
ENSG00000187961,KLHL17,0.01815009165851883,-2.062552935180742,0.7630234664192217,0.05564077217620525,2.477018617505134,0.6758521379046727,0.0,2.828352778871582,1.0
ENSG00000187583,PLEKHN1,0.0027225137487778247,-3.4548703579595017,1.0,0.0,3.869336040283894,1.0,0.0,5.287784397508879,1.0
ENSG00000188290,HES4,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000187608,ISG15,0.24139621905830044,0.020863073006895494,1.0,0.2782038608810263,0.393602609317496,0.8341163954297779,0.0,-0.7996784437414597,1.0
ENSG00000224969,AL645608.1,0.001815009165851883,-3.8699078572383456,1.0,0.0,4.284373539562738,1.0,0.0,5.702821896787723,1.0
ENSG00000188157,AGRN,0.006352532080481591,-2.4548703579595026,1.0,0.0,2.869336040283894,1.0,0.0,4.287784397508879,1.0
ENSG00000131591,C1orf159,0.04628273372922302,-2.5617855618760146,0.34093604343937073,0.3338446330572315,2.976251244200406,0.29686632719696776,0.0,1.4298034023813075,1.0
ENSG00000162571,TTLL10,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000186891,TNFRSF18,0.026317632904852305,-1.547979762350984,0.8000378248348349,0.05564077217620525,1.9624454446753758,0.7088569591246177,0.0,2.3335880871220045,1.0
ENSG00000186827,TNFRSF4,0.08530543079503851,-1.2069428445159174,0.6061335430163602,0.222563088704821,1.621408526840309,0.5065007870286261,0.0,0.65842777742927,1.0
ENSG00000078808,SDF4,0.37842941108011763,-0.3324737265997759,0.8132438913034346,0.3338446330572315,-0.04782289077845148,1.0,0.809930204095134,1.144826443666837,1.0
ENSG00000176022,B3GALT6,0.13158816452426153,0.734954200920515,1.0,0.0,-1.3303363045524699,1.0,0.16198604081902682,1.0979598386288627,1.0
ENSG00000184163,C1QTNF12,0.001815009165851883,-4.869907857238346,0.3666704126374878,0.05564077217620525,5.284373539562738,0.32893280615457565,0.0,5.287784397508879,1.0
ENSG00000260179,AL162741.1,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000160087,UBE2J2,0.21961610906807785,-0.5300578543537218,0.7454366366162687,0.16692231652861575,-0.07903119130078373,1.0,0.6479441632761073,1.6671979870570026,1.0
ENSG00000162572,SCNN1D,0.0045375229146297075,-2.8699078572383465,1.0,0.0,3.284373539562738,1.0,0.0,4.702821896787723,1.0
ENSG00000131584,ACAP3,0.05717278872433432,-1.7767984528468652,0.4424074128653238,0.222563088704821,2.1912641351712563,0.3635437724652605,0.0,1.2003215562585403,1.0
ENSG00000169972,PUSL1,0.06806284371944561,-1.5288709394032796,0.4990933555676596,0.05564077217620525,0.565555292106791,1.0,0.4859581224570805,3.0209978568139784,1.0
ENSG00000127054,INTS11,0.3121815765265239,-0.34634590118133324,0.8387499351179852,0.3894854052334368,0.4305441877056333,0.7839492625961898,0.32397208163805363,0.41331527959273884,1.0
ENSG00000224051,CPTP,0.12614313702670588,1.6744126589854638,1.0,0.0,-1.2599469766610722,1.0,0.0,0.15850138056391305,1.0
ENSG00000169962,TAS1R3,0.0009075045829259415,-4.454870357959502,1.0,0.0,4.869336040283894,1.0,0.0,6.287784397508879,1.0
ENSG00000107404,DVL1,0.06261781622188997,-0.32558734101453624,1.0,0.05564077217620525,0.7400530233389273,1.0,0.0,1.1380372780041976,1.0
ENSG00000162576,MXRA8,0.04083770623166737,-1.5162709026236456,0.6623327696882967,0.1112815443524105,1.9307365849480376,0.5653248248672973,0.0,1.7028218967877233,1.0
ENSG00000175756,AURKAIP1,0.5653753551628615,0.8305318609027459,1.0,0.3338446330572315,-0.6110214172079513,1.0,0.16198604081902682,-1.011423620878399,1.0
