Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSG00000241860,AL627309.5,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000237491,LINC01409,0.02672847091122826,-0.1353994498242841,1.0,0.009803735108963202,-1.1022378829753832,1.0,0.22686525676959066,3.4629720926091796,0.30268429571814753,0.0,2.3335880871220045,1.0,0.0,4.760610435648834,1.0
ENSG00000228794,LINC01128,0.08575384417352401,0.06557398787725788,1.0,0.07842988087170562,-0.06368464220599002,1.0,0.11343262838479533,0.9263051489288037,0.8539878576359533,0.0,0.7028218967877233,1.0,0.0,3.1298442453145525,1.0
ENSG00000225880,LINC00115,0.008909490303742754,-1.6093306381566963,0.6497440710762346,0.024509337772408005,1.433815017264827,0.8522563459037337,0.056716314192397664,3.0885765778276806,0.5077844210827444,0.0,3.3808938019003616,1.0,0.0,5.80791615042719,1.0
ENSG00000230368,FAM41C,0.005568431439839221,-0.38693821682024865,1.0,0.004901867554481601,0.5858181107098765,1.0,0.0,3.0885765778276806,1.0,0.0,4.480429475451276,1.0,0.0,6.907451823978105,1.0
ENSG00000187634,SAMD11,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000188976,NOC2L,0.23832886562511865,-0.05659788211668637,1.0,0.22058403995167203,-0.12583639492714171,1.0,0.5671631419239767,1.3274571219526976,0.4452453419979983,0.16198604081902682,0.210968800458049,1.0,0.0,1.6326577046818374,1.0
ENSG00000187961,KLHL17,0.01336423545561413,-1.5933890942876747,0.43352870053699494,0.03921494043585281,1.533350690815741,0.5549496048132785,0.056716314192397664,2.5036140771065245,0.678890460047813,0.0,2.828352778871582,1.0,0.0,5.255375127398412,1.0
ENSG00000187583,PLEKHN1,0.0022273725759356885,-1.3869382168202495,0.8975899633359843,0.004901867554481601,1.5858181107098765,1.0,0.0,3.895931499885285,1.0,0.0,5.287784397508879,1.0,0.0,7.71480674603571,1.0
ENSG00000188290,HES4,0.0,-2.9719007175414056,0.6716899353178838,0.004901867554481601,3.1707806114310326,0.8522563459037337,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000187608,ISG15,0.1915540415304692,-1.181128679679405,0.06300027782031035,0.46077555012127047,1.2649027887955828,0.055534250995102605,0.2835815709619883,0.42019806891888734,0.8308330541238724,0.0,-0.7996784437414597,1.0,0.0,1.6273439047853695,1.0
ENSG00000224969,AL645608.1,0.0022273725759356885,-0.38693821682024954,1.0,0.0,0.5858181107098765,1.0,0.0,4.310968999164129,1.0,0.0,5.702821896787723,1.0,0.0,8.129844245314553,1.0
ENSG00000188157,AGRN,0.006682117727807065,-0.164545795483801,1.0,0.004901867554481601,0.3634256893734289,1.0,0.0,2.895931499885285,1.0,0.0,4.287784397508879,1.0,0.0,6.714806746035709,1.0
ENSG00000131591,C1orf159,0.04900219667058515,-0.28740254326933456,0.9674952424483532,0.034313072881371205,-0.5016447305404625,1.0,0.34029788515438597,3.0028467038017967,0.3123999198832581,0.0,1.4298034023813075,1.0,0.0,3.8568257509081367,1.0
ENSG00000162571,TTLL10,0.0,-2.9719007175414056,0.6716899353178838,0.004901867554481601,3.1707806114310326,0.8522563459037337,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000186891,TNFRSF18,0.0033410588639035325,-4.779255639599009,4.962752682560851e-06,0.1274485564165216,4.603740018707139,1.1404924627717505e-05,0.056716314192397664,1.9890409042767665,0.7116444425363141,0.0,2.3335880871220045,1.0,0.0,4.760610435648834,1.0
ENSG00000186827,TNFRSF4,0.04343376523074592,-2.5568632182625612,0.0002044228300803318,0.26960271549648807,2.5187039148513404,0.0004774712995569353,0.22686525676959066,1.6480039864416998,0.5106865212843281,0.0,0.65842777742927,1.0,0.0,3.085450125956099,1.0
ENSG00000078808,SDF4,0.35637961214971015,-0.41365555519602815,0.7143307465122067,0.47548115278471526,0.41045102419931623,0.9577764368579259,0.34029788515438597,-0.021227431177060385,0.9781670103665262,0.809930204095134,1.144826443666837,1.0,0.0,0.9699729085361634,1.0
ENSG00000176022,B3GALT6,0.12918760940426993,-0.05573230834487575,1.0,0.14215415907996642,0.1950281576777102,1.0,0.0,-1.3037408449510792,1.0,0.16198604081902682,1.0979598386288627,1.0,0.0,2.5151344011993446,1.0
ENSG00000184163,C1QTNF12,0.0022273725759356885,-1.3869382168202495,0.8625535440373858,0.0,0.17078061143103263,1.0,0.056716314192397664,5.310968999164129,0.3416110822965808,0.0,5.287784397508879,1.0,0.0,7.71480674603571,1.0
ENSG00000260179,AL162741.1,0.0011136862879678442,-0.9719007175414056,1.0,0.0,1.1707806114310326,1.0,0.0,4.895931499885285,1.0,0.0,6.287784397508879,1.0,0.0,8.714806746035709,1.0
ENSG00000160087,UBE2J2,0.2116003947138904,-0.30136248511417474,0.8605816112434695,0.2548971128330432,0.26934444591462237,1.0,0.17014894257719299,-0.05243573169939264,1.0,0.6479441632761073,1.6671979870570026,1.0,0.0,1.7490224613736216,1.0
ENSG00000162572,SCNN1D,0.004454745151871377,-0.649972622654043,1.0,0.004901867554481601,0.8488525165436709,1.0,0.0,3.310968999164129,1.0,0.0,4.702821896787723,1.0,0.0,7.129844245314553,1.0
ENSG00000131584,ACAP3,0.05234325553448868,-0.7792556395990085,0.6716899353178838,0.07842988087170562,0.5578037345402804,1.0,0.22686525676959066,2.217859594772648,0.37222546664990797,0.0,1.2003215562585403,1.0,0.0,3.6273439047853695,1.0
