Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000162585,FAAP20,0.544176588780629,1.3690686990411849,1.0,0.16692231652861575,-1.3690686990411849,1.0
ENSG00000157933,SKI,0.046927334355875136,-2.141415585720695,0.44257341868291866,0.16692231652861575,2.141415585720695,0.44257341868291866
ENSG00000116151,MORN1,0.010829384851355801,-3.753858822863958,0.3469408338425522,0.1112815443524105,3.753858822863958,0.3469408338425522
ENSG00000157916,RER1,0.328491340491126,0.6424166134834857,1.0,0.16692231652861575,-0.6424166134834857,1.0
ENSG00000157911,PEX10,0.023463667177937568,-2.6994110388415815,0.4352778324846983,0.1112815443524105,2.6994110388415815,0.4352778324846983
ENSG00000149527,PLCH2,0.014439179801807735,-1.781873199033555,1.0,0.0,1.781873199033555,1.0
ENSG00000157881,PANK4,0.07851304017232956,-0.9948669223677529,0.8272156817189623,0.1112815443524105,0.9948669223677529,0.8272156817189623
ENSG00000272449,AL139246.5,0.12183057957775277,0.21812680096644543,1.0,0.05564077217620525,-0.21812680096644543,1.0
ENSG00000238164,TNFRSF14-AS1,0.022561218440324587,-1.1688963221428024,1.0,0.0,1.1688963221428024,1.0
ENSG00000157873,TNFRSF14,0.6371288087547663,-0.7256977303618576,0.5829135384260226,1.0571746713478998,0.7256977303618576,0.5829135384260226
ENSG00000228037,AL139246.3,0.0054146924256779005,-3.0619811182262904,1.0,0.0,3.0619811182262904,1.0
ENSG00000157870,PRXL2B,0.07490324522187762,-0.47701861750513386,1.0,0.05564077217620525,0.47701861750513386,1.0
ENSG00000142606,MMEL1,0.027975910866002488,-1.8693360402838937,0.8178218446782105,0.05564077217620525,1.8693360402838937,0.8178218446782105
ENSG00000215912,TTC34,0.0027073462128389503,-3.869336040283894,1.0,0.0,3.869336040283894,1.0
ENSG00000177133,PRDM16-DT,0.0018048974752259668,-4.284373539562738,1.0,0.0,4.284373539562738,1.0
ENSG00000142611,PRDM16,0.0009024487376129834,-4.869336040283894,1.0,0.0,4.869336040283894,1.0
ENSG00000162591,MEGF6,0.0649763091081348,-3.2644739821250326,0.2811172035671995,0.6120484939382578,3.2644739821250326,0.2811172035671995
